Iteration	Alpha	Abs_Diff_Flows	Rel_Diff_Flows	QoPI	QoPI_Flow
  401	       0.000100	       2.038700	       0.000600	      85.388200	       0.005500
  402	       0.000100	       2.030700	       0.000600	      85.326800	       0.005500
  403	       0.000100	       2.024900	       0.000600	      85.261300	       0.005500
  404	       0.000100	       2.020200	       0.000600	      85.191900	       0.005500
  405	       0.000100	       2.015800	       0.000600	      85.118600	       0.005500
  406	       0.000100	       2.011700	       0.000600	      85.041400	       0.005500
  407	       0.000100	       2.007600	       0.000600	      84.960500	       0.005500
  408	       0.000100	       2.003400	       0.000600	      84.875900	       0.005400
  409	       0.000100	       1.999200	       0.000600	      84.787700	       0.005400
  410	       0.000100	       1.995000	       0.000600	      84.696000	       0.005400
  411	       0.000100	       1.990700	       0.000600	      84.600900	       0.005400
  412	       0.000100	       1.986300	       0.000600	      84.502400	       0.005400
  413	       0.000100	       1.981800	       0.000600	      84.400600	       0.005400
  414	       0.000100	       1.977200	       0.000500	      84.295600	       0.005400
  415	       0.000100	       1.972600	       0.000500	      84.187500	       0.005300
  416	       0.000100	       1.967900	       0.000500	      84.076300	       0.005300
  417	       0.000100	       1.963100	       0.000500	      83.962100	       0.005300
  418	       0.000100	       1.958300	       0.000500	      83.845100	       0.005300
  419	       0.000100	       1.953400	       0.000500	      83.725200	       0.005300
